source_file,page,ramo,tipo_cobertura,poliza_no,certificado_no,inicio_vigencia,fin_vigencia,asegurado,propietario,nit,direccion,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,forma_pago,moneda,ocr_ok
1943853451943.pdf,5,Automóvi,,,406,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD) Descripción del Vehículo","INDUSTRIAS LACTEAS, SA Imee:smuucosio Jpasejeressa |",,KILOMETRO 255 CARRETERA A EL SALVADOR -SIN ZONA/COMUNIDAD FRALJANES-GUATEMALA- GUATEMALA Color: S/C,,,,,,,,,S,EFECTIVO,aveces A,True
1943853451943.pdf,6,Automóvi,ra: Todo Riesgo,AUTO - 371708,407,31/01/2025,31/01/2026 12:00 A 12:00 HRS,,RDUSTRASIACTEAS SA llinee:swuooeio |pasojere3 |,,KILOMETRO 25.5 CARRETERA A EL SALVADOR -SIN ZONA COMUNIDAD F RALJANES-GUATEMALA- GUATEMALA Color: SiC,,,,,,,,,SiC,,QUETZALES,True
1943853451943.pdf,7,Automóvil,'a: Todo Riesgo,AUTO - 371708,408,31/01/2025,31/01/2026 12:00 A 12:00 HRS,[ Deducible 7],,,KILOMETRO 255 CARRETERA A EL SALVADOR -SIN ZONA/COMUNIDAD-F RAUANES-GUATEMALA-GUATEMALA Color: SiC,ISUZU,JAANKR6SE,,,,Canon,,,SiC,,,True
1943853451943.pdf,8,Automóvi,ertura: Todo Riesgo,AUTO - 371708,409,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,,,,,,,,729870,,,,True
1943853451943.pdf,9,Aomovi,ertura: Todo Riesgo,AUTO - 371708,410,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,KILOMETRO 25.5 CARRETERA A EL SALVADOR -SIN ZONA/COMUNIDAD F RALJANES-GUATEMALA- GUATEMALA Color: SiC,ISUZU,JAANKR66,,,,,,,SiC,,,True
1943853451943.pdf,10,Automóvi,a: Todo Riesgo,AUTO - 371708,411,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD! Descripción del Vehículo",,,,,,,,,,,,,,,True
1943853451943.pdf,11,Automóvi,,,412,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","INDUSTRIAS LACTEAS, SA",,,,,,,,,,,,,QUETZALES,True
1943853451943.pdf,12,Automówvi,,,413,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD) Descripción del Vehículo",,,,ISUZU,JAAMKREGEK,,,,,,,,,QUETZALES,True
1943853451943.pdf,13,Altomovi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,,MOUSTRASLACTEAS SA lLinee:smwooeio [pasejeros:a |,,,,,,,,,,,,,QUETZALES,False
1943853451943.pdf,14,Automóvi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,,,,,,,,,,,,False
